,BRYANT,CAMBRIDGE,HAMILTON,HIGH,MPL,RINCONADA LIB,TED THOMPSON,WEBSTER
0,0.0,0.0,0.0,0.0,0.0,0.007662835249042145,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.007662835249042145,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.007662835249042145,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.007662835249042145,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.007662835249042145,0.0,0.0
5,0.0,0.0,0.014367816091954023,0.0,0.0,0.007662835249042145,0.0,0.0
6,0.0,0.0,0.13218390804597702,0.0,0.0,0.007662835249042145,0.0,0.0
7,0.0,0.0,0.09865900383141762,0.0,0.0,0.005747126436781609,0.0,0.0
8,0.0,0.0,0.14367816091954022,0.0,0.0009578544061302681,0.011494252873563218,0.0,0.011494252873563218
9,0.0,0.0,0.3342911877394636,0.022988505747126436,0.0009578544061302681,0.008620689655172414,0.0019157088122605363,0.22126436781609196
10,0.016283524904214558,0.006704980842911878,0.3955938697318008,0.11302681992337164,0.0,0.032567049808429116,0.03639846743295019,0.35344827586206895
11,0.04597701149425287,0.006704980842911878,0.2796934865900383,0.12164750957854406,0.0,0.04885057471264368,0.05268199233716475,0.2595785440613027
12,0.045019157088122604,0.022988505747126436,0.26915708812260536,0.05842911877394636,0.0019157088122605363,0.06896551724137931,0.034482758620689655,0.20593869731800765
13,0.03065134099616858,0.008620689655172414,0.24808429118773948,0.03065134099616858,0.0028735632183908046,0.045019157088122604,0.018199233716475097,0.14942528735632185
14,0.012452107279693486,0.0009578544061302681,0.17911877394636017,0.016283524904214558,0.0019157088122605363,0.05938697318007663,0.007662835249042145,0.14655172413793102
15,0.004789272030651341,0.006704980842911878,0.14367816091954022,0.006704980842911878,0.0,0.06226053639846743,0.0038314176245210726,0.13122605363984674
16,0.0,0.008620689655172414,0.14655172413793102,0.0019157088122605363,0.0,0.06992337164750957,0.0009578544061302681,0.1024904214559387
17,0.0,0.0028735632183908046,0.1772030651340996,0.0009578544061302681,0.0,0.05076628352490421,0.0019157088122605363,0.04980842911877394
18,0.0028735632183908046,0.0,0.28544061302681994,0.009578544061302681,0.0,0.03065134099616858,0.0019157088122605363,0.03735632183908046
19,0.0009578544061302681,0.0009578544061302681,0.29118773946360155,0.009578544061302681,0.0,0.028735632183908046,0.0,0.0421455938697318
20,0.0019157088122605363,0.0009578544061302681,0.19348659003831417,0.0019157088122605363,0.0,0.014367816091954023,0.0,0.013409961685823755
21,0.0,0.0,0.05268199233716475,0.0,0.0,0.005747126436781609,0.0,0.0
22,0.0,0.0,0.01053639846743295,0.0,0.0,0.006704980842911878,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.009578544061302681,0.0,0.0
